product_type	google_product_category
UNKNOWN	Apparel & Accessories>Clothing>Outerwear>Coats & Jackets
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories>Shoes
FOOTWEAR>MENS FOOTWEAR>HIKING SHOES AND BOOTS	Apparel & Accessories>Shoes
UNKNOWN	Apparel & Accessories>Shoes>Athletic Shoes & Sneakers>Athletic Shoes
CAMPING GEAR>SLEEPING PADS AND MATTRESSES>ACCESSORIES	Sporting Goods>Outdoor Recreation>Camping & Hiking>Sleeping Pads
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear
WATER SPORTS>ACCESSORIES	Sporting Goods>Outdoor Recreation>Boating & Water Sports
FOOTWEAR>MENS FOOTWEAR>HIKING SHOES AND BOOTS	Apparel & Accessories > Shoes > Boots
GOLF>ACCESSORIES	Sporting Goods > Outdoor Recreation > Golf
GOLF>ACCESSORIES	Sporting Goods > Outdoor Recreation > Golf
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Pants
GOLF>ACCESSORIES	Sporting Goods > Outdoor Recreation > Golf
KIDS CLOTHING>JACKETS AND VESTS>FLEECE JACKETS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
FOOTWEAR>WOMENS FOOTWEAR>SANDALS	Apparel & Accessories > Shoes > Sandals
WOMENS CLOTHING>PANTS AND SHORTS>TRAIL AND CASUAL SHORTS	Apparel & Accessories > Clothing > Shorts
MENS CLOTHING>PANTS AND SHORTS>TRAIL AND ZIP-OFF PANTS	Apparel & Accessories>Clothing>Pants
MENS CLOTHING>JACKETS AND VESTS>SOFT SHELL JACKETS	Apparel & Accessories > Clothing > Outerwear
WOMENS CLOTHING>JACKETS AND VESTS>SOFT SHELL JACKETS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
CAMPING GEAR>K-9 AND DOG GEAR	Animals & Pet Supplies > Pet Supplies > Dog Supplies
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
HUNTING>Archery>Accessories	Sporting Goods > Outdoor Recreation > Archery
FISHING>FRESHWATER FISHING>RODS	Sporting Goods > Outdoor Recreation > Fishing
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
KIDS CLOTHING>HATS GLOVES AND ACCESSORIES>SKI AND SNOWBOARD GLOVES	Apparel & Accessories > Clothing Accessories > Gloves & Mittens
GOLF>ACCESSORIES	Sporting Goods > Outdoor Recreation > Golf
MENS CLOTHING>PANTS AND SHORTS>TRAIL AND ZIP-OFF PANTS	Apparel & Accessories>Clothing>Pants
SPORTS GEAR>DISC GOLF>ACCESSORIES	Sporting Goods
UNKNOWN	Apparel & Accessories>Clothing>Outerwear>Coats & Jackets>Boleros
FOOTWEAR>WOMENS FOOTWEAR>SANDALS	Apparel & Accessories>Shoes
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Boleros
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories>Clothing>Outerwear
HUNTING>DOG TRAINING	Sporting Goods > Outdoor Recreation > Hunting > Hunting Dog Equipment
GOLF>ACCESSORIES	Sporting Goods > Outdoor Recreation > Golf
FISHING>FRESHWATER FISHING>RODS	Sporting Goods > Outdoor Recreation > Fishing
HUNTING>GAME CALLS>OTHER CALLS	Sporting Goods>Outdoor Recreation>Hunting & Shooting>Hunting>Wildlife Attractants>Hunting & Wildlife Calls
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes
UNKNOWN	Apparel & Accessories>Shoes>Athletic Shoes & Sneakers>Athletic Shoes
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
WOMENS CLOTHING>JACKETS AND VESTS>CASUAL JACKETS	Apparel & Accessories > Clothing > Outerwear
GOLF>UTILITY WEDGES	Sporting Goods > Outdoor Recreation > Golf > Golf Clubs
UNKNOWN	Apparel & Accessories>Clothing>Underwear & Socks>Underwear
WOMENS CLOTHING>PANTS AND SHORTS>CASUAL PANTS	Apparel & Accessories > Clothing > Pants
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories>Shoes>Boots>Snow Boots
FISHING>FRESHWATER FISHING>ACCESSORIES	Sporting Goods > Outdoor Recreation > Fishing
GOLF>UTILITY WEDGES	Sporting Goods > Outdoor Recreation > Golf > Golf Clubs
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Snow Boots
CAMPING GEAR>BACKPACKS>ACCESSORIES	Luggage & Bags > Backpacks
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts
GOLF>PUTTERS	Sporting Goods > Outdoor Recreation > Golf > Golf Clubs
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
MENS CLOTHING>PANTS AND SHORTS>WIND AND RAIN PANTS	Apparel & Accessories > Clothing > Pants
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
MENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear
WOMENS CLOTHING>JACKETS AND VESTS>WIND AND RAIN JACKETS	Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
WATER SPORTS>ACCESSORIES	Sporting Goods>Outdoor Recreation>Boating & Water Sports
OPTICS>BINOCULARS>COMPACT	Cameras & Optics > Optics > Binoculars
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
FISHING>FRESHWATER FISHING>LURES	Sporting Goods>Outdoor Recreation>Fishing>Fishing Tackle>Fishing Baits & Lures
FISHING>FRESHWATER FISHING>RODS	Sporting Goods > Outdoor Recreation > Fishing
CAMPING GEAR>SLEEPING PADS AND MATTRESSES>ACCESSORIES	Sporting Goods>Outdoor Recreation>Camping & Hiking>Sleeping Pads
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories>Shoes
